,E,tot>50keV,tot>200keV,tot>500keV,fe,se,de,511
571,5760,0.09566264646186938,0.08229863261824093,0.06850453233279695,0.013368562348888547,0.006238527658955097,0.0008970663151851343,0.004023910986762839
572,5770,0.09602359513923171,0.08262589307077027,0.06875521809754852,0.013341672193938073,0.006318756480031659,0.0008742679520222747,0.003990740432267958
573,5780,0.09632815914889883,0.08274863486330483,0.06891148529796556,0.013473146723898804,0.006233422619902889,0.0008948823317961523,0.004034280799455105
574,5790,0.09639687499213209,0.08296830428291241,0.0691046696359109,0.01334397494353988,0.00630137745069653,0.0009058796574878583,0.004015277592444792
575,5800,0.09635075482980936,0.08276195740242183,0.06892973949482203,0.013219140293180857,0.006324909006507474,0.0008942182103665943,0.003977711938014283
576,5810,0.09627506098222574,0.08270978086584714,0.06889384069473524,0.013390471100251966,0.006420212744581925,0.0009408542735781196,0.00403341665226669
577,5820,0.09640028537627222,0.0828795308751238,0.06886558918058679,0.013410376899372755,0.0062910215848417435,0.0009442302115537253,0.004029535039369684
578,5830,0.09620996074811596,0.08274866416813617,0.06903380633031214,0.013475327637726107,0.006257350645654155,0.000930058684899024,0.004105587718414711
579,5840,0.09609872336506695,0.0826196566844529,0.06871966634417541,0.013237823869724878,0.006293834744670511,0.0009214274166949035,0.004083860405498134
580,5850,0.09615767230786612,0.08274636798003601,0.06883816352913065,0.013220342711115066,0.006252243299096881,0.0009183154186008612,0.004023941187821248
581,5860,0.09632587317057582,0.08268957308110181,0.06903280181504441,0.01316146865213779,0.006417464210391769,0.0008867514539528344,0.004084748673867195
582,5870,0.09630561267006145,0.08286576459270777,0.06894916346296262,0.013205959812111423,0.006408239250240995,0.000915106538847644,0.004036442684159581
583,5880,0.09660771700176077,0.08295590106816693,0.06912078579629367,0.013179122803085207,0.006382602501936349,0.0008895995058887403,0.004124733207315039
584,5890,0.09673492333562182,0.0832000039799807,0.06930638886401401,0.01333791031113499,0.006312746883177616,0.0009029581206531148,0.003999134354198382
585,5900,0.09636546857251324,0.08283088377787738,0.06900958720460489,0.013109734585390918,0.006277845080234577,0.0009058502122263443,0.004125022236312122
586,5910,0.09643558528534327,0.08301648378645175,0.06921522724080582,0.013252342933035021,0.006347744218167849,0.0008893790179012342,0.004124048520787001
587,5920,0.0961977452073387,0.08269308081136051,0.06886471690172473,0.013060507023486307,0.006316849774178693,0.0008997161061080066,0.0040442610753069815
