Eg,FWHM_rel_norm,Eff_tot,FE,SE,DE,c511,cntRest,cntRestNoThres,nEvents,nCounts
1670,0.9340878012370017,0.974716,23364.8,575.02,90.0352,286.598,68609.5,66678.8,991146.0,92926
1680,0.9325137549435444,0.976009,23916.8,571.303,96.0109,266.285,68425.6,66590.0,993561.0,93276
1690,0.9309569850107444,0.973049,23552.1,590.794,77.3268,292.932,68705.8,66901.5,995975.0,93219
1700,0.9294172036375546,0.971424,16813.1,617.773,99.6225,258.76,75499.8,67136.0,998390.0,93289
1710,0.9278941294630586,0.971449,17483.3,613.427,105.103,320.223,74994.9,66957.2,1000800.0,93517
1720,0.926387487385587,0.973743,17767.4,618.241,93.7647,297.691,75186.9,67463.2,1003220.0,93964
1730,0.9248970083879436,0.973597,18422.1,663.592,103.934,325.066,74661.3,67705.5,1005630.0,94176
1740,0.9234224293684938,0.973101,18722.6,655.095,106.979,318.339,74551.0,67815.0,1008050.0,94354
1750,0.921963492977893,0.968615,19316.3,655.025,88.2555,319.11,73765.3,67664.5,1010460.0,94144
1760,0.9205199474612291,0.966326,19348.6,694.013,138.12,360.729,73604.5,67669.0,1012880.0,94146
1770,0.9190915465053751,0.967193,19829.0,702.296,138.396,354.201,73431.1,67823.5,1015290.0,94455
1780,0.9176780490913462,0.971098,6617.26,719.366,119.792,412.105,87193.5,68259.0,1017710.0,95062
1790,0.9162792193514749,0.970034,20466.7,774.865,107.86,378.24,73455.3,68720.8,1020120.0,95183
1800,0.914894826431216,0.973945,20914.0,786.686,104.884,425.868,73561.5,68998.5,1022540.0,95793
1810,0.9135246443554094,0.967431,21114.9,828.887,142.651,434.482,72856.1,68619.8,1024950.0,95377
1820,0.9121684518988319,0.96198,21083.0,807.611,134.55,397.09,72640.8,68653.5,1027360.0,95063
1830,0.9108260324608781,0.963965,21334.7,842.672,157.921,421.47,72726.3,68771.0,1029780.0,95483
1840,0.9094971739442161,0.969515,21773.0,909.566,150.864,426.41,72998.1,69311.0,1032190.0,96258
1850,0.9081816686372703,0.966158,22018.9,876.382,158.515,423.241,72672.0,69290.5,1034610.0,96149
1860,0.9068793131003922,0.964439,21944.9,867.325,118.369,462.099,72809.3,69576.5,1037020.0,96202
1870,0.9055899080555824,0.9667,11833.1,917.131,140.13,456.521,83305.1,69525.2,1039440.0,96652
1880,0.904313258279637,0.965717,12315.1,904.713,138.532,489.64,82930.0,69923.0,1041850.0,96778
1890,0.9030491725005895,0.964669,12788.1,994.374,179.733,456.504,82478.2,69848.0,1044260.0,96897
1900,0.9017974632973353,0.962493,13516.1,1000.81,164.79,508.737,81711.5,69914.5,1046680.0,96902
1910,0.9005579470023221,0.964341,13884.1,978.539,177.474,510.085,81761.8,70364.5,1049090.0,97312
1920,0.8993304436071942,0.955146,22676.2,1069.2,152.633,495.845,72212.1,69686.0,1051510.0,96606
1930,0.8981147766712917,0.961422,23100.7,999.563,177.779,539.459,72646.5,70171.2,1053920.0,97464
1940,0.8969107732328989,0.963466,22997.2,1080.13,166.973,545.284,73105.4,70736.5,1056340.0,97895
1950,0.8957182637231491,0.962948,16178.6,1093.93,210.82,522.551,80060.1,70631.0,1058750.0,98066
1960,0.8945370818824888,0.959669,16439.8,1123.7,179.76,555.566,79656.2,70726.2,1061170.0,97955
1970,0.8933670646796175,0.960287,17039.1,1131.96,223.2,567.982,79278.8,70796.8,1063580.0,98241
1980,0.8922080522328127,0.957839,17330.5,1169.68,155.803,572.479,78984.6,70990.5,1066000.0,98213
1990,0.8910598877335638,0.958223,17843.6,1173.69,178.746,620.138,78658.8,71193.8,1068410.0,98475
2000,0.8899224173724273,0.961908,18261.5,1179.1,205.002,610.604,78820.8,71599.5,1070820.0,99077
2010,0.8887954902670386,0.958465,23359.3,1242.27,192.211,612.109,73539.1,71635.0,1073240.0,98945
2020,0.8876789583921973,0.959938,19029.2,1233.62,200.266,622.629,78234.3,71793.0,1075650.0,99320
2030,0.8865726765119631,0.957826,23699.3,1311.34,185.777,674.498,73453.1,71696.5,1078070.0,99324
2040,0.8854765021136918,0.958371,19561.2,1328.37,205.411,642.94,77865.1,71771.0,1080480.0,99603
2050,0.8843902953439455,0.962023,24473.2,1334.03,225.883,689.962,73482.9,72363.8,1082900.0,100206
2060,0.8833139189462194,0.961444,22702.7,1367.22,201.864,673.873,75423.3,72526.0,1085310.0,100369
2070,0.8822472382004202,0.960198,15322.3,1385.56,234.959,695.825,82823.3,72735.0,1087730.0,100462
2080,0.8811901208640407,0.958244,4306.66,1397.42,245.132,716.605,93814.2,72830.0,1090140.0,100480
2090,0.8801424371149768,0.953518,16287.1,1417.24,197.871,685.913,81617.8,72493.2,1092560.0,100206
2100,0.8791040594959283,0.956885,23014.7,1504.14,235.363,769.035,75258.8,72645.2,1094970.0,100782
2110,0.8780748628603399,0.954059,17402.4,1490.88,249.887,788.558,80774.3,72840.5,1097380.0,100706
2120,0.8770547243198237,0.962571,23315.3,1498.58,221.436,751.215,76041.4,73714.8,1099800.0,101828
2130,0.8760435231930239,0.962528,18339.6,1501.02,231.851,787.61,81186.9,73945.2,1102210.0,102047
2140,0.8750411409558725,0.957215,23540.2,1644.94,234.335,796.345,75490.2,73308.5,1104630.0,101706
2150,0.8740474611931932,0.958198,18898.7,1641.64,229.522,750.967,80512.2,73867.8,1107040.0,102033
2160,0.8730623695516115,0.95437,23233.5,1615.86,267.143,847.884,75882.6,73799.5,1109460.0,101847
2170,0.8720857536937286,0.956729,19659.3,1628.09,281.472,875.253,79876.9,73911.0,1111870.0,102321
2180,0.8711175032535209,0.957222,23652.2,1712.21,255.808,873.599,76102.2,74064.8,1114280.0,102596
2190,0.8701575097929257,0.960459,20125.6,1599.38,249.596,878.513,80313.0,74766.5,1116700.0,103166
2200,0.8692056667595772,0.956603,23469.5,1755.99,246.042,855.346,76647.2,74679.5,1119110.0,102974
2210,0.8682618694456553,0.955313,20631.6,1793.12,249.276,864.354,79518.6,74385.5,1121530.0,103057
2220,0.8673260149478167,0.956332,23755.4,1838.7,268.687,866.446,76659.8,74748.8,1123940.0,103389
2230,0.8663980021281701,0.951605,24764.9,1783.79,301.415,893.393,75355.5,74421.0,1126360.0,103099
2240,0.8654777315762687,0.950307,12201.5,1795.14,258.47,862.5,88061.4,74757.8,1128770.0,103179
2250,0.8645651055720851,0.950254,21189.3,1772.35,270.79,843.499,79318.1,74969.5,1131190.0,103394
2260,0.8636600280499418,0.957025,13226.6,1971.5,282.303,953.529,87919.1,75629.0,1133600.0,104353
2270,0.8627624045633664,0.956281,21633.4,1870.23,276.693,997.352,79716.4,75552.8,1136020.0,104494
2280,0.8618721422508445,0.954527,14147.5,1915.41,285.89,1016.44,87158.8,75734.5,1138430.0,104524
2290,0.8609891498024448,0.952297,21830.8,1937.14,292.563,931.819,79508.7,75566.8,1140840.0,104501
2300,0.8601133374272887,0.95316,14905.8,1952.09,317.72,1021.78,86619.6,75653.0,1143260.0,104817
2310,0.85924461682184,0.954717,21936.4,2068.57,317.928,1065.21,79821.9,76213.8,1145670.0,105210
2320,0.8583829011389907,0.95385,15627.5,2057.74,334.194,1034.34,86282.2,76288.0,1148090.0,105336
2330,0.8575281049579208,0.94658,21987.7,1972.68,294.329,1073.11,79425.2,76037.8,1150500.0,104753
2340,0.8566801442547055,0.955491,16348.6,2003.91,294.84,1091.1,86222.6,76969.5,1152920.0,105961
2350,0.8558389363736535,0.953045,22188.3,2131.47,335.618,1121.45,80134.1,76900.2,1155330.0,105911
2360,0.8550043999993517,0.958241,24495.7,2131.91,329.347,1076.24,78677.8,77243.8,1157750.0,106711
2370,0.8541764551293964,0.951802,22558.5,2151.83,322.254,1091.72,80090.7,76921.5,1160160.0,106215
2380,0.8533550230477919,0.956389,24261.8,2178.11,354.191,1079.24,79075.7,77694.0,1162580.0,106949
2390,0.8525400262989976,0.951194,22725.4,2267.2,339.125,1207.63,80049.6,77214.0,1164990.0,106589
2400,0.8517313886626044,0.94611,17983.6,2263.12,317.915,1134.18,84540.2,77060.5,1167400.0,106239
2410,0.8509290351286232,0.953533,9668.63,2335.56,346.89,1239.72,93703.2,77595.2,1169820.0,107294
2420,0.8501328918733675,0.951338,18644.5,2318.01,354.396,1136.63,84814.5,77818.0,1172230.0,107268
2430,0.8493428862359154,0.955109,10369.7,2279.15,340.136,1198.2,93727.8,78590.0,1174650.0,107915
2440,0.8485589466951305,0.948301,19035.2,2347.38,352.003,1198.76,84432.6,77872.8,1177060.0,107366
2450,0.8477810028472326,0.948599,10971.7,2374.61,368.396,1219.77,92685.5,78199.0,1179480.0,107620
2460,0.8470089853838957,0.950328,19509.6,2415.4,369.44,1236.1,84506.5,78407.2,1181890.0,108037
2470,0.846242826070864,0.949682,11778.6,2378.09,359.696,1302.67,92365.0,78769.2,1184300.0,108184
2480,0.8454824577270706,0.950491,19876.4,2428.59,388.415,1275.57,84528.1,78745.2,1186720.0,108497
2490,0.8447278142042434,0.950581,23235.7,2464.08,343.901,1322.5,81361.9,79002.5,1189130.0,108728
2500,0.8439788303669848,0.946927,20030.9,2601.77,388.796,1371.91,84136.7,78639.5,1191550.0,108530
2510,0.8432354420733169,0.944029,23243.7,2511.99,388.855,1283.87,80988.6,78883.5,1193960.0,108417
2520,0.8424975861556726,0.952125,20818.7,2558.48,336.035,1330.25,84524.5,79487.5,1196380.0,109568
2530,0.8417652004023252,0.951413,23410.9,2547.79,434.974,1368.95,81944.4,79890.8,1198790.0,109707
2540,0.8410382235392453,0.951794,21015.8,2635.48,395.579,1364.7,84560.4,79693.0,1201210.0,109972
2550,0.8403165952123692,0.952062,23651.8,2800.21,414.529,1329.51,82028.0,79976.0,1203620.0,110224
2560,0.8396002559702729,0.950293,21100.8,2771.22,388.318,1406.78,84572.9,80145.5,1206040.0,110240
2570,0.8388891472472368,0.949565,15157.5,2745.69,463.343,1456.5,90552.9,80286.2,1208450.0,110376
2580,0.8381832113466932,0.952737,7778.56,2689.68,430.047,1469.79,98597.9,80787.5,1210860.0,110966
2590,0.837482391425046,0.94959,15784.8,2754.96,451.922,1507.52,90320.8,80443.2,1213280.0,110820
2600,0.8367866314758526,0.951672,21743.3,2776.85,442.166,1464.38,84857.3,80819.2,1215690.0,111284
2610,0.8360958763143581,0.947473,16233.0,2871.43,439.236,1444.81,90024.6,80725.5,1218110.0,111013
2620,0.8354100715623735,0.949303,21423.2,2827.42,439.998,1462.75,85294.6,81430.0,1220520.0,111448
2630,0.8347291636334886,0.948254,16841.6,2859.46,440.847,1548.81,89854.3,81094.8,1222940.0,111545
2640,0.8340530997186109,0.951026,21924.4,2950.63,473.921,1504.24,85238.8,81558.5,1225350.0,112092
2650,0.8333818277718218,0.945007,17315.1,2994.25,423.743,1573.6,89295.3,81107.0,1227770.0,111602
